--- Qwen-3: rougel-recall ---
Method                      ,   squad,   ropes,   2wiki,    mfqa,  qasper,   gsm8k,    crux
Base Model w/ Context,         0.9586,  0.9782,  0.6011,  0.6450,  0.6175,  0.5421,  0.6843
Base Model w/o Context,        0.2461,  0.8288,  0.3175,  0.2248,  0.0128,  0.1521,  0.3775
CD oracle,                     0.9493,  0.9831,  0.6851,  0.6624,  0.6246,  0.5154,  0.6507          
cd-300epoch,                   0.4057,  0.7469,  0.3615,  0.3078,  0.1678,  0.3640,  0.5152
D2L_oracle,                    0.7677,  0.8557,  0.4313,  0.2880,  0.2298,  0.3623,  0.4409
D2L,                           0.5496,  0.8699,  0.3630,  0.2715,  0.1688,  0.2318,  0.3948
AnyEdit(Alphaedit-ARE),        0.1577,  0.7643,  0.1625,  0.1323,  0.0740,  0.1699,  0.4441 
PLUME,                         0.8065,  0.9461,  0.4724,  0.3776,  0.2853,  0.4539,  0.6231

--- Qwen-3: LLM ---                                                          
base_model_w_context        ,  0.9169,  0.9591,  0.5235,  0.6008,  0.5395,  0.5276,  0.5537  
base_model_wo_context       ,  0.1519,  0.6499,  0.2467,  0.1133,  0.0189,  0.0782,  0.0462
cd_oracle                   ,  0.9175,  0.9752,  0.6244,  0.6117,  0.5581,  0.5083,  0.5320
cd-300epoch                 ,  0.2785,  0.6700,  0.3067,  0.2333,  0.0957,  0.2631,  0.1375
D2L_oracle                  ,  0.6492,  0.8039,  0.3833,  0.2034,  0.1580,  0.3024,  0.2050
D2L                         ,  0.3727,  0.8133,  0.3084,  0.1200,  0.1102,  0.1642,  0.1363
anyedit_alphaedit_are       ,  0.1244,  0.6748,  0.1500,  0.0925,  0.0402,  0.0190,  0.1050
PLUME                       ,  0.7681,  0.9026,  0.4148,  0.3401,  0.2448,  0.4147,  0.5062



--- Gemma-2: rougel-recall ---

Method                      ,   squad,   ropes,   2wiki,    mfqa,  qasper,   gsm8k,    crux
Base Model w/ Context       ,  0.9073,  0.8473,  0.3639,  0.3181,  0.5248,  0.4290,  0.4737 
Base Model w/o Context.     ,  0.2207,  0.4444,  0.1476,  0.0502,  0.0095,  0.1012,  0.1807
CD oracle                   ,  0.8992,  0.8581,  0.4223,  0.3511,  0.5246,  0.4196,  0.4709              
cd-300epoch                 ,  0.3230,  0.5463,  0.2082,  0.0972,  0.1294,  0.2303,  0.3055
D2L(oracle)                 ,  0.7081,  0.5884,  0.2211,  0.1475,  0.1910,  0.2223,  0.3436
D2L                         ,  0.4917,  0.5753,  0.2109,  0.1144,  0.1422,  0.2004,  0.2995
AnyEdit(Alphaedit-ARE)      ,  16.24,  51.81,  10.37,  5.23,  0.0054,  0.1067,  0.3435 
PLUME                       ,  74.80,  62.70,  29.85,  23.29,  24.51,  33.69,  40.52

--- Gemma-2: LLM ---

Method                      ,   squad,  ropes,  2wiki,   mfqa, qasper,   gsm8k,   crux
Base Model w/ Context       ,  84.65,   80.17,  28.21,  27.49,  44.72,   39.86,  33.23 
Base Model w/o Context.     ,  12.54,   25.95,   6.49,   3.36,   1.17,    4.41,   2.96
CD oracle                   ,  84.77,   79.38,  34.39,  30.84,  45.40,   39.92,  31.81              
cd-300epoch                 ,  20.19,   45.21,  14.48,   6.76,   5.23,   12.52,  10.74
D2L(oracle)                 ,  57.46,   50.43,  16.15,   7.72,  12.58,   15.29,  12.83
D2L                         ,  31.36,   48.69,  15.96,   6.55,   7.96,   11.74,  11.44
AnyEdit(Alphaedit-ARE)      ,   8.93,   41.72,   8.64,   4.06,   0.46,    1.26,   6.77  
PLUME                       ,  68.60,   55.78,  24.82,  19.42,  20.35,   29.65,  26.12
